"team","status","date"
"Texas Southern","Away",2014-11-14
"Austin","Away",2014-11-14
"St Francis (IL)","Away",2014-11-14
"Cent Conn St","Away",2014-11-14
"Yale","Away",2014-11-14
"Hiwassee College","Away",2014-11-14
"The Citadel","Away",2014-11-14
"Presbyterian","Away",2014-11-14
"William & Mary","Away",2014-11-14
"Ark Monticello","Away",2014-11-14
"Tennessee","Away",2014-11-14
"Boise State","Away",2014-11-14
"W Carolina","Away",2014-11-14
"UVA","Away",2014-11-14
"Bryant","Away",2014-11-14
"UMass Lowell","Away",2014-11-14
"Kennesaw St","Away",2014-11-14
"MIT","Away",2014-11-14
"Monmouth","Away",2014-11-14
"N Arizona","Away",2014-11-14
"Marist","Away",2014-11-14
"Cleveland State","Away",2014-11-14
"Niagara","Away",2014-11-14
"Rider","Away",2014-11-14
"Siena","Away",2014-11-14
"UNC Wesleyan","Away",2014-11-14
"Flagler","Away",2014-11-14
"Manchester","Away",2014-11-14
"Lafayette","Away",2014-11-14
"LBSU","Away",2014-11-14
"Alma","Away",2014-11-14
"MD-E Shore","Away",2014-11-14
"UNH","Away",2014-11-14
"Florida A&M","Away",2014-11-14
"Georgia","Away",2014-11-14
"UNC Asheville","Away",2014-11-14
"Howard","Away",2014-11-14
"Jackson State","Away",2014-11-14
"NJIT","Away",2014-11-14
"North Florida","Away",2014-11-14
"Piedmont","Away",2014-11-14
"Chowan","Away",2014-11-14
"Samford","Away",2014-11-14
"Charleston So","Away",2014-11-14
"Averett","Away",2014-11-14
"Grambling St","Away",2014-11-14
"Alabama A&M","Away",2014-11-14
"Pace","Away",2014-11-14
"Fair Dickinson","Away",2014-11-14
"Columbia","Away",2014-11-14
"Jacksonville St","Away",2014-11-14
"Tenn Temple","Away",2014-11-14
"Miss Valley St","Away",2014-11-14
"Morgan State","Away",2014-11-14
"Belmont","Away",2014-11-14
"Savannah State","Away",2014-11-14
"Rochester (MI)","Away",2014-11-14
"Piedmont Intl","Away",2014-11-14
"Minnesota","Away",2014-11-14
"American U","Away",2014-11-14
"South Dakota St","Away",2014-11-14
"Radford","Away",2014-11-14
"Barber-Scotia","Away",2014-11-14
"Trinity Baptist","Away",2014-11-14
"Cornell","Away",2014-11-14
"Florida College","Away",2014-11-14
"Wagner","Away",2014-11-14
"Grand Canyon","Away",2014-11-14
"Mt St Mary's","Away",2014-11-14
"UCSB","Away",2014-11-14
"NC Central","Away",2014-11-14
"Lehigh","Away",2014-11-14
"Oakland","Away",2014-11-14
"SE Louisiana","Away",2014-11-14
"PV A&M","Away",2014-11-14
"St Peter's","Away",2014-11-14
"UT-Arlington","Away",2014-11-14
"Indiana State","Away",2014-11-14
"Houston","Away",2014-11-14
"St Francis (PA)","Away",2014-11-14
"Pacific","Away",2014-11-14
"Air Force","Away",2014-11-14
"UMBC","Away",2014-11-14
"Edward Waters","Away",2014-11-14
"Wayland","Away",2014-11-14
"NYIT","Away",2014-11-14
"FAU","Away",2014-11-14
"Ohio Valley","Away",2014-11-14
"William Carey","Away",2014-11-14
"Huston-Tillotson","Away",2014-11-14
"Bethesda","Away",2014-11-14
"Drexel","Away",2014-11-14
"Brewton Parker","Away",2014-11-14
"Louisiana Coll.","Away",2014-11-14
"Houston Baptist","Away",2014-11-14
"Northwestern St","Away",2014-11-14
"Hillsdale (OK)","Away",2014-11-14
"Miss. College","Away",2014-11-14
"Lady of the Lake","Away",2014-11-14
"Hartford","Away",2014-11-14
"Harris Stowe","Away",2014-11-14
"Reinhardt","Away",2014-11-14
"Pfeiffer","Away",2014-11-14
"Greensboro","Away",2014-11-14
"E Illinois","Away",2014-11-14
"Carroll (MT)","Away",2014-11-14
"North Dakota St","Away",2014-11-14
"Rockhurst","Away",2014-11-14
"Jacksonville","Away",2014-11-14
"East Tenn St","Away",2014-11-14
"Randolph College","Away",2014-11-14
"Charleston","Away",2014-11-14
"Aub.-Montgomery","Away",2014-11-14
"N Kentucky","Away",2014-11-14
"New Mexico St","Away",2014-11-14
"Sacramento St","Away",2014-11-14
"Southern Utah","Away",2014-11-14
"Loyola (MD)","Away",2014-11-14
"Black Hills St","Away",2014-11-14
"SE Missouri St","Away",2014-11-14
"Binghamton","Away",2014-11-14
"Berry","Away",2014-11-14
"UMKC","Away",2014-11-14
"LA Tech","Away",2014-11-14
"Ga Southern","Away",2014-11-14
"Texas-Tyler","Away",2014-11-14
"Towson","Away",2014-11-14
"Cent Arkansas","Away",2014-11-14
"Weber State","Away",2014-11-14
"South Dakota","Away",2014-11-14
"Michigan State","Away",2014-11-14
"Lamar","Away",2014-11-14
"McNeese State","Away",2014-11-14
"UT Martin","Away",2014-11-14
"Hampton","Away",2014-11-14
"CS Northridge","Away",2014-11-14
"Ball State","Away",2014-11-14
"Eastern Oregon","Away",2014-11-14
"Idaho State","Away",2014-11-14
"Concordia (OR)","Away",2014-11-14
"Fresno State","Away",2014-11-14
"UIC","Away",2014-11-14
"CSU Bakersfield","Away",2014-11-14
"Chicago State","Away",2014-11-14
"Texas State","Away",2014-11-14
"Alcorn State","Away",2014-11-14
"Rice","Away",2014-11-14
"Washington St","Away",2014-11-14
"S Carolina St","Away",2014-11-14
"CS Fullerton","Away",2014-11-14
"Chapman","Away",2014-11-14
"Milwaukee","Away",2014-11-14
"Cal State-LA","Away",2014-11-14
"Morehead State","Away",2014-11-14
"Montana State","Away",2014-11-14
"Wofford","Away",2014-11-14
"Coppin State","Away",2014-11-14
"AR-Pine Bluff","Away",2014-11-14
